lat,long,ind
42.4163,  -82.9518, 16998
42.4099,  -82.9399, 16998
42.4294,  -83.1506, 16998
42.4224,  -82.9917, 16998
42.4221,  -83.1978, 16998
42.3571,  -83.1423, 16998
42.3598,  -83.1918, 16998
42.3358,  -83.0879, 16998
42.2965,  -83.1103, 16998
42.4265,  -82.9797, 16998
42.3603,  -83.143, 16998
42.4376,  -83.2527, 7999
42.324,  -83.0809, 7999
42.3218,  -83.0913, 7999
42.394,  -82.9382, 7999
42.3873,  -83.1997, 7999
42.3653,  -82.9533, 7999
42.3392,  -83.1078, 7999
42.4195,  -83.11, 7999
42.3923,  -82.9708, 7999
42.3703,  -83.0262, 7999
42.4254,  -83.1913, 7999
42.4066,  -83.0293, 7999
42.43,  -83.0909, 7999
42.3427,  -83.0775, 7999
42.4205,  -83.1673, 7999
42.408,  -83.2107, 7999
42.4292,  -83.1084, 7999
42.3908,  -83.2299, 7999
42.4098,  -83.0499, 7999
42.4359,  -82.97, 7999
42.359,  -83.245, 7999
42.4114,  -83.1774, 7999
42.3505,  -83.1997, 7999
42.3923,  -82.9824, 7999
42.3046,  -83.1359, 7999
42.3947,  -83.1351, 7999
42.3628,  -83.0561, 7999
42.3625,  -83.0561, 7999
42.3441,  -83.1412, 7999
42.3875,  -83.2227, 7999
42.3484,  -83.2108, 7999
42.3952,  -83.1293, 7998
42.3385,  -83.2133, 7998
42.422,  -83.1687, 7998
42.3531,  -83.0049, 20999
42.3835,  -82.9488, 20999
42.4303,  -83.2051, 18000
42.3162,  -83.1246, 18000
42.435,  -82.9778, 18000
42.3761,  -83.1219, 18000
42.3628,  -83.1135, 18000
42.3721,  -83.235, 18000
42.3776,  -83.1184, 18000
42.4395,  -83.1171, 18000
42.4478,  -83.0248, 18000
42.4004,  -83.2376, 18000
42.3788,  -83.0743, 18000
42.3613,  -83.1167, 18000
42.3702,  -83.2319, 16998
42.3904,  -82.9493, 16998
42.3772,  -83.0778, 16998
42.3757,  -82.9989, 16998
42.3767,  -82.9877, 16998
42.3619,  -83.0951, 16998
42.4317,  -83.046, 16998
42.3819,  -83.1877, 16998
42.349,  -83.2307, 16998
42.4466,  -83.0974, 16998
42.3837,  -82.9487, 16998
42.4003,  -83.0004, 16998
42.3868,  -83.1109, 16998
42.3517,  -83.0471, 16998
42.4347,  -82.9522, 16998
42.4046,  -83.1955, 16998
42.4309,  -82.9449, 16998
42.409,  -82.9331, 16998
42.4015,  -83.1862, 7999
42.3955,  -83.1901, 7999
42.3407,  -83.211, 7999
42.3602,  -83.1974, 7999
42.4263,  -83.0289, 7999
42.2673,  -83.1549, 7999
42.4281,  -83.1818, 7999
42.4089,  -83.1674, 7999
42.4066,  -83.1686, 7999
42.4371,  -83.0084, 7999
42.4159,  -82.9419, 7999
42.4334,  -83.2029, 7999
42.3345,  -83.1438, 7999
42.32,  -83.1006, 7999
42.4271,  -83.0883, 7999
42.4028,  -82.9194, 7999
42.4442,  -82.9966, 7999
42.4264,  -83.213, 7999
42.3464,  -83.2239, 7999
42.4199,  -83.0304, 7999
42.4412,  -83.2204, 7999
42.4228,  -83.0806, 7999
42.386,  -82.9839, 7999
42.4016,  -82.9399, 7999
42.3895,  -83.1351, 7999
42.3386,  -83.0293, 7999
42.4304,  -83.2591, 7999
42.4014,  -83.1835, 7999
42.3394,  -83.2287, 7999
42.4121,  -83.1344, 7998
42.4243,  -83.1767, 7998
42.3686,  -83.1026, 7998
42.4441,  -83.0274, 7998
42.3668,  -83.0763, 18000
42.4165,  -82.9366, 18000
42.4306,  -83.1911, 18000
42.3938,  -83.1239, 18000
42.3289,  -83.147, 16998
42.3328,  -83.0365, 16998
42.3325,  -83.0368, 16998
42.4121,  -83.1852, 16998
42.4058,  -82.9933, 16998
42.437,  -83.0187, 16998
42.3345,  -83.0444, 16998
42.3682,  -83.0112, 16998
42.4277,  -83.1707, 16998
42.3917,  -83.1273, 16998
42.3646,  -83.1204, 16998
42.3644,  -83.1204, 16998
42.303,  -83.126, 16998
42.3918,  -83.1387, 16998
42.3712,  -83.2759, 16998
42.3829,  -83.0761, 16998
42.4264,  -82.9624, 16998
42.4326,  -83.0914, 16998
42.4008,  -83.2186, 16998
42.3511,  -83.078, 16998
42.3911,  -83.1169, 16998
42.3737,  -83.1369, 16998
42.3322,  -83.0415, 16998
42.4148,  -83.1722, 16998
42.4005,  -83.0005, 16998
42.3593,  -83.1744, 7999
42.4108,  -83.0615, 7999
42.3921,  -83.2302, 7999
42.4319,  -83.1073, 7999
42.393,  -83.2245, 7999
42.3456,  -83.2126, 7999
42.3578,  -83.2103, 7999
42.4093,  -83.2455, 7999
42.4321,  -83.1113, 7999
42.448,  -82.961, 7999
42.4196,  -82.9338, 7999
42.4304,  -83.2162, 7999
42.336,  -83.0878, 7999
42.3883,  -83.209, 7999
42.4098,  -83.2091, 7999
42.3645,  -83.2176, 7999
42.3642,  -83.2284, 7999
42.3545,  -83.0612, 7999
42.4414,  -83.1591, 7999
42.3437,  -83.2308, 7999
42.3585,  -83.1658, 7999
42.3523,  -83.1033, 7999
42.36,  -83.0679, 7999
42.4203,  -82.9334, 7999
42.3374,  -83.1273, 7999
42.4266,  -83.2207, 7999
42.4208,  -83.2261, 7999
42.4266,  -82.9532, 7999
42.4017,  -82.937, 7999
42.3275,  -83.139, 7998
42.3433,  -83.2581, 7998
42.3854,  -83.138, 20999
42.4291,  -82.9571, 18000
42.443,  -83.1364, 18000
42.4311,  -83.143, 18000
42.4212,  -83.232, 18000
42.4388,  -83.0445, 16998
